COMMAND: C:\Python313\python.exe C:\Users\admin\OneDrive - VINACADEMY LLC\Desktop\android\Convert-raw-data-20250905T053633Z-1-001\filter_1858_files.py
STARTED: 2025-09-08T21:07:28.121941
ENDED:   2025-09-08T21:07:28.449939
DURATION_SECONDS: 0.328
STATUS: success
RETURN_CODE: 0

===== STDOUT =====
Filter 1858 Files Script
==================================================
This script will copy files containing '1858' in their names
Source: Processed folder
Target: Processed_1858 folder
==================================================
Target directory 'Processed_1858' already exists. Removing...
Created target directory: Processed_1858
Copied: healthy\01/sample_frequency_sweep__weight_1_F_1858p0.png
Copied: healthy\01/sample_frequency_sweep__weight_1_F_1858p5.png
Copied: healthy\01/sample_frequency_sweep__weight_1__repeat_F_1858p0.png
Copied: healthy\01/sample_frequency_sweep__weight_1__repeat_F_1858p5.png
Copied: healthy\03/sample_frequency_sweep__weight_1_F_1858p0.png
Copied: healthy\03/sample_frequency_sweep__weight_1_F_1858p5.png
Copied: healthy\03/sample_frequency_sweep__weight_1__repeat_F_1858p0.png
Copied: healthy\03/sample_frequency_sweep__weight_1__repeat_F_1858p5.png
Copied: healthy\04/sample_frequency_sweep__weight_1_F_1858p0.png
Copied: healthy\04/sample_frequency_sweep__weight_1_F_1858p5.png
Copied: healthy\06/sample_frequency_sweep__weight_1_F_1858p0.png
Copied: healthy\06/sample_frequency_sweep__weight_1_F_1858p5.png
Copied: healthy\06/sample_frequency_sweep__weight_1__repeat_F_1858p0.png
Copied: healthy\06/sample_frequency_sweep__weight_1__repeat_F_1858p5.png
Copied: healthy\07/sample_frequency_sweep__weight_1_F_1858p0.png
Copied: healthy\07/sample_frequency_sweep__weight_1_F_1858p5.png
Copied: healthy\07/sample_frequency_sweep__weight_1__repeat_F_1858p0.png
Copied: healthy\07/sample_frequency_sweep__weight_1__repeat_F_1858p5.png
Copied: healthy\08/sample_frequency_sweep__weight_1_F_1858p0.png
Copied: healthy\08/sample_frequency_sweep__weight_1_F_1858p5.png
Copied: healthy\08/sample_frequency_sweep__weight_1__repeat_F_1858p0.png
Copied: healthy\08/sample_frequency_sweep__weight_1__repeat_F_1858p5.png
Copied: healthy\09/sample_frequency_sweep__weight_1_F_1858p0.png
Copied: healthy\09/sample_frequency_sweep__weight_1_F_1858p5.png
Copied: healthy\09/sample_frequency_sweep__weight_1__repeat_F_1858p0.png
Copied: healthy\09/sample_frequency_sweep__weight_1__repeat_F_1858p5.png
